key,token
C[n+]1cc[nH]c1,0
C[C@H]([NH3+])[P@](=O)([O-])C[C@@H](C)C=O,0
c1cnon1,0
NC(=O)CC[C@H]([NH3+])C(=O)[O-],0
O[C@H]1C=CC=CC1,0
O[C@H]1COCCOCOCCOCOC[C@H](O)[C@@H](O)COCCOCOCCOCOC[C@@H]1O,0
O=C1CNC(=O)OCCCCCCCC=COCCN1,0
Cc1ccsc1,0
Oc1ccnnc1,0
Cc1nnco1,0
C1=CCCCCC1,0
O=c1[nH]cc(Cl)c(=O)[nH]1,0
CC(C)C[C@@H](C=O)CC(=O)NO,0
O=C1CNCCCN1,0
Clc1ccncn1,0
C1CCCCCC1,0
[NH3+]C1CCCC1,0
Cc1csc(C)n1,0
O=C1CCCCCC/C=C\CCNC(=O)CN1,0
CC[P@@](=O)([O-])C[C@H](C)C=O,0
CCCCCCCCC=O,0
Oc1ccncn1,0
CC(C)[SH](=O)=O,0
CCCCC(F)(F)[P+](=O)(=O)[O-],0
CCC[C@H]([P+](=O)(=O)[O-])S(=O)(=O)[O-],0
CN1CCNC1,0
C[C@@H]1CCC/C=C\C=C\C(=O)CC=CC(=O)O1,0
CN1C(=[NH2+])NCCC1=O,0
NC1=CCCC=C1,0
CC1(C)CC=CS(=O)(=O)C1,0
Cc1cnc(C)o1,0
C1=CNC=CNC1,0
C=C(C)C,0
Cc1ccccc1Cl,0
C1=CCCCCCC1,0
O=[N+]([O-])O,0
C[C@@H]1CCCOC1O,0
Fc1ccc(Cl)cc1Cl,0
O[C@@H]1CCO[C@@H](O)C1,0
Cc1ccn[nH]1,0
CS(=O)(=O)CCC=O,0
O=C1C=CCO1,0
CC#CC,0
CCCCCCCCCC,0
CCCCCC(N)=O,0
C=C,0
Nc1cnccn1,0
O=S1(=O)NC[C@H](O)[C@@H](O)CN1,0
C[C@H]1CCC=CO1,0
C[C@@H](C=O)C[P@@H](=O)[O-],0
O=C1C[C@H](O)CN1,0
C1=NCNN=C1,0
C1=CC[NH2+]NC1,0
CC[C@@H](O)CCC=O,0
[NH3+][C@@H]1CCNC1,0
Nc1cc[nH]n1,0
CNS(N)(=O)=O,0
CC1C=CC(O)=CC1=O,0
O[C@@H]1CCC[NH2+]C1,0
CC1CCCCC1O,0
N#CCC=O,0
C[C@@H](O)CC(=O)NO,0
C=C1[C@H](O)CCC[C@H]1O,0
O=c1nccc[nH]1,0
Cc1cnc[nH]1,0
O=C1NCNC1=O,0
C[P+](=O)(=O)[O-],0
OC1[NH2+]C[C@H](O)[C@@H](O)[C@@H]1O,0
OC1CCC[NH2+]1,0
CC1C(=O)OCC1(C)C,0
CCCl,0
O=[P@@]([O-])(O)O[P@](=O)([O-])C[P+](=O)(=O)[O-],0
CCC(=O)C(=O)[O-],0
CC[C@H]([NH3+])[P+](=O)(=O)[O-],0
OCC(CO)CO,0
CN1C=NC(N)=CC1,0
C1=NC=NC1,0
Nc1ccccc1F,0
C[C@@H](O)[C@@H](O)[C@H](O)CO,0
C[C@@H]1CCCCN1,0
Cc1ccn(C)n1,0
O[C@@H]1CCOC[C@@H]1F,0
O[C@@H]1[C@@H](O)[C@@H](O)CO[C@H]1O,0
O=[P+](=O)([O-])CS,0
CCS(=O)(=O)[O-],0
